ABloss,Bobloss,Eveloss
9.3605995,9.240854381217755,9.691145
9.3096895,9.199617098118843,9.710415
9.310846,9.208419001761026,9.702675
9.152391,9.058467659999483,9.697298
9.2473345,9.163236592364099,9.66942
9.220386,9.143254576317434,9.693789
9.197648,9.127659758453124,9.667036
9.172785,9.1047476952829,9.7336
9.088341,9.025502226082608,9.7718725
9.000483,8.939360188386802,9.690593
9.065514,9.009933401198525,9.702005
9.105033,9.053694168338552,9.759752
9.102353,9.051118765259162,9.711021
9.067863,9.016577811712132,9.752054
9.095325,9.044094882772438,9.815287
9.016705,8.96041874308139,9.702858
9.096224,9.043688989843108,9.729252
9.055293,9.001917289503451,9.760645
8.998231,8.940792018813745,9.748533
9.052643,8.995486613762164,9.820241
9.09241,9.036365661836628,9.799507
9.065445,9.004352979894195,9.852108
9.03991,8.976080556433383,9.761285
9.030671,8.969069841118264,9.892844
9.045749,8.981627988895136,9.797032
8.992745,8.928758699646487,9.754298
9.061562,8.99971177981102,9.810906
9.110489,9.046535046272247,9.708073
9.111339,9.047185388426962,9.769776
9.125389,9.063865002111665,9.819468
9.005945,8.938112289877608,9.842485
9.049707,8.983888469470132,9.802509
9.090533,9.025532425048628,9.863928
9.001366,8.931268818310595,9.97864
9.018276,8.949399205922548,9.862194
9.061325,8.992810073075816,9.900409
9.058386,8.987926430501311,9.847906
9.054552,8.985542204131239,9.935064
9.006616,8.934613405627065,9.943491
9.138835,9.070474844492438,9.850736
9.038615,8.967909984589953,9.801521
9.05763,8.985775306920655,9.929007
9.030316,8.95597967352452,9.961609
9.081164,9.008840193173715,9.831972
8.994261,8.921008029719815,9.97793
9.007508,8.934342232067138,9.856865
9.065437,8.991589113404709,9.972879
9.094196,9.018843894990693,9.914287
8.961115,8.883743953957621,9.916897
9.023291,8.94726058172195,9.989416
8.978653,8.898789165641315,9.892704
9.082958,9.004890730671052,9.971409
8.998163,8.919770771304943,9.947913
9.01312,8.934424980377246,9.938978
9.0163355,8.936564361643311,9.88525
8.995163,8.915358757267573,10.017288
9.06416,8.984453173387529,9.873419
9.042963,8.961154081825432,9.905173
9.0440645,8.964630604056376,9.963597
9.033846,8.953927844363664,9.980329
9.044795,8.9647020258209,9.942629
9.023601,8.941215521855547,9.933869
8.994118,8.91154550621286,9.924145
9.039035,8.95724129633579,9.970068
9.052679,8.969689857281212,10.031345
9.015029,8.932456925345052,9.98152
9.022652,8.938290748612157,10.000276
8.984629,8.90223571977445,9.912812
9.003649,8.919939310456227,10.034819
8.987107,8.904454607050866,9.974031
8.994162,8.911518492802445,9.975746
9.024962,8.942608889724527,10.046194
8.977544,8.896374163284365,10.008759
9.030478,8.948020631247866,9.987965
9.000251,8.915258243214339,10.064452
9.0531845,8.969621960240017,9.931748
8.97166,8.890458671442634,9.96615
8.981278,8.899383409447703,9.992599
