ABloss,Bobloss,Eveloss
8.638935,8.48216159956064,8.581194
8.508157,8.349173614522442,8.500483
8.545704,8.39993387577124,8.584702
8.3980055,8.255744474183302,8.613364
8.43794,8.301638653734699,8.581645
8.340594,8.213050838152412,8.588835
8.279187,8.156061048794072,8.578096
8.386898,8.273749973857775,8.458062
8.356863,8.252362389932387,8.523918
8.256274,8.155261241830885,8.5792675
8.456273,8.358027898240834,8.529896
8.289491,8.182131843117531,8.576797
8.341308,8.231857309176121,8.510941
8.207438,8.095469803723972,8.617615
8.285469,8.175824380421545,8.553152
8.375247,8.273386824410409,8.499046
8.228574,8.123476517619565,8.630701
8.125114,8.01870980329113,8.602242
8.23005,8.126838876109105,8.589193
8.185371,8.082643373054452,8.535366
8.233237,8.133522190153599,8.591041
8.2601795,8.16110279574059,8.559114
8.182577,8.08190640353132,8.721565
8.225206,8.126509900728706,8.613678
8.2660475,8.169093740871176,8.560633
8.155856,8.055453345063142,8.587321
8.172769,8.073375199339353,8.652314
8.289652,8.193522137822583,8.645845
8.1887,8.089396708935965,8.599806
8.058646,7.956423741416074,8.540503
8.185332,8.08656195673393,8.595985
8.153152,8.05381005659001,8.561322
8.153158,8.053585301968269,8.572266
8.098382,7.998314660275355,8.563693
8.177933,8.08034993003821,8.497425
8.058988,7.957878268614877,8.59626
8.157379,8.059310902492143,8.531957
8.220736,8.125068148074206,8.568514
8.243577,8.147890115855262,8.550103
8.228335,8.133066234586295,8.594828
8.193215,8.095878202584572,8.583169
8.102057,8.002947759465314,8.546016
8.104734,8.005970090162009,8.552477
8.182726,8.085888150439132,8.570522
8.184639,8.08840154914651,8.546925
8.134056,8.036704646772705,8.636645
8.2029295,8.107130426855292,8.615681
8.133595,8.035831687680911,8.671862
8.198463,8.10285895114066,8.523232
8.18117,8.084726166445762,8.617332
8.112999,8.01441167324083,8.665531
8.299025,8.205816842440981,8.555466
8.210714,8.11563294089865,8.650818
8.10557,8.008013433951419,8.664305
8.257085,8.162602065131068,8.66222
8.12508,8.027584957366344,8.537073
8.144303,8.047178956738207,8.724382
8.211381,8.116265716322232,8.602913
8.152558,8.056433827267028,8.560455
8.17381,8.077865001745522,8.608881
8.205397,8.10998188261874,8.587175
